"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
47	0	48.7	4	2	0	49	35	49	30	5.55	1.73
16	0	12.3	0	3	4	15	4	5	9	6.57	1.54
6	4	30	1	0	0	25	10	16	8	2.4	1.17
46	0	53	3	5	3	48	26	31	21	3.57	1.4
54	0	65.3	2	3	0	49	19	74	18	2.48	1.04
3	3	12	1	0	0	18	13	4	12	9	2.58
4	0	3.7	1	0	0	4	3	3	1	2.45	1.91
74	0	78.3	1	1	0	78	25	80	29	3.33	1.32
7	0	13.7	0	1	0	15	6	13	6	3.95	1.54
28	3	49	3	3	0	43	22	26	19	3.49	1.33
9	0	9.3	0	0	0	17	9	9	13	12.54	2.79
15	2	21.7	1	1	0	23	10	13	10	4.15	1.52
3	1	8.3	1	0	0	11	1	6	7	7.56	1.44
52	0	61	10	2	0	42	22	55	11	1.62	1.05
34	34	200	15	11	0	219	68	163	106	4.77	1.44
6	0	5.7	0	0	0	8	4	3	5	7.94	2.12
81	0	75.7	2	10	9	86	24	50	48	5.71	1.45
31	31	166.7	9	14	0	202	77	127	112	6.05	1.67
13	8	47.3	2	3	0	55	21	35	32	6.08	1.61
32	21	141	6	10	0	146	43	92	75	4.79	1.34
8	8	36.3	0	6	0	59	17	18	32	7.93	2.09
28	28	172.3	11	4	0	161	42	141	66	3.45	1.18
13	3	26.7	0	3	0	29	6	14	13	4.39	1.31
15	15	80	3	7	0	92	28	50	49	5.51	1.5
51	0	58.3	6	2	4	28	24	82	10	1.54	0.89
17	14	85.3	3	6	0	94	32	43	45	4.75	1.48
32	32	182.7	9	16	0	215	58	113	117	5.76	1.5
3	3	10.3	0	2	0	16	8	6	12	10.45	2.32
49	4	89.3	4	4	1	98	31	45	48	4.84	1.44
44	20	115	4	14	1	135	79	73	80	6.26	1.86
4	0	6	0	0	0	10	3	4	9	13.5	2.17
51	0	60.3	4	4	0	61	42	44	35	5.22	1.71
3	0	3	0	0	0	7	5	3	8	24	4
32	0	45.7	2	2	1	43	20	24	21	4.14	1.38
27	27	174.3	12	10	0	173	34	172	78	4.03	1.19
15	15	81	6	4	0	70	37	72	33	3.67	1.32
71	0	49	5	1	0	50	21	32	11	2.02	1.45
6	6	29.7	1	4	0	47	6	14	24	7.28	1.79
74	0	78	6	6	0	66	28	71	31	3.58	1.21
11	0	13	1	0	0	13	6	9	7	4.85	1.46
8	0	6.3	0	1	0	4	2	9	4	5.68	0.95
72	4	97.3	3	7	3	86	47	68	40	3.7	1.37
44	0	45	3	2	1	40	35	43	25	5	1.67
30	22	139.7	2	11	0	153	47	96	79	5.09	1.43
69	0	71	3	4	4	76	25	64	40	5.07	1.42
29	0	36.7	0	2	0	48	19	25	20	4.91	1.83
35	32	200.7	16	10	0	188	80	201	70	3.14	1.34
6	0	10	0	0	0	5	5	7	1	0.9	1
33	33	193.3	11	11	0	224	39	96	87	4.05	1.36
33	33	197.7	9	12	0	211	66	111	103	4.69	1.4
36	0	37.7	1	3	0	32	13	35	13	3.11	1.2
8	6	34	3	2	0	42	22	13	28	7.41	1.88
12	12	71.3	3	4	0	75	36	44	34	4.29	1.56
5	5	26.7	2	1	0	36	5	9	16	5.4	1.54
47	12	118.3	3	7	0	139	36	97	78	5.93	1.48
10	0	16	0	1	0	30	12	14	18	10.13	2.63
26	0	36	0	2	0	54	14	24	30	7.5	1.89
18	0	16.7	1	3	6	24	8	9	14	7.56	1.92
1	1	5	1	0	0	7	1	3	2	3.6	1.6
5	0	6.7	0	0	0	11	5	5	10	13.5	2.4
10	0	8	0	1	0	11	3	5	8	9	1.75
76	0	72	2	6	1	73	25	67	47	5.88	1.36
19	10	71.7	5	4	0	77	25	41	33	4.14	1.42
68	0	59.3	4	3	0	59	15	17	14	2.12	1.25
63	0	47	2	2	0	50	24	54	15	2.87	1.57
2	0	3	0	0	0	4	3	3	2	6	2.33
49	0	47	0	2	1	34	19	39	10	1.91	1.13
15	0	23	0	0	0	28	11	12	13	5.09	1.7
7	1	14	1	0	0	20	5	7	11	7.07	1.79
72	0	68.7	7	5	2	63	21	64	30	3.93	1.22
31	0	35	1	0	0	23	21	28	12	3.09	1.26
70	0	69	3	5	14	54	27	88	24	3.13	1.17
32	1	34.3	3	0	1	18	16	33	7	1.83	0.99
16	15	76	2	9	0	93	41	72	57	6.75	1.76
63	0	66.3	6	6	1	45	18	56	16	2.17	0.95
10	0	14	1	0	0	16	4	11	5	3.21	1.43
34	34	218.7	15	12	0	240	52	140	92	3.79	1.34
1	0	2.3	0	0	0	5	1	1	2	7.71	2.57
4	0	5.3	0	0	0	9	6	5	4	6.75	2.81
14	0	16	0	0	0	15	9	20	13	7.31	1.5
3	2	14.7	0	2	0	15	2	12	8	4.91	1.16
35	34	221.3	18	10	0	211	86	231	100	4.07	1.34
58	0	56.7	1	1	0	57	34	42	30	4.76	1.61
31	22	129.7	7	10	0	165	50	63	87	6.04	1.66
54	0	58.7	5	1	0	56	25	58	21	3.22	1.38
31	29	185	9	10	0	163	48	109	86	4.18	1.14
30	30	180	11	12	0	204	34	82	92	4.6	1.32
59	0	55.3	2	1	0	45	29	47	24	3.9	1.34
30	30	180	8	10	0	199	90	95	105	5.25	1.61
22	0	28.3	2	1	0	32	17	31	17	5.4	1.73
34	34	217.7	8	14	0	206	91	186	91	3.76	1.36
5	0	4.7	0	0	0	3	3	7	2	3.86	1.29
10	0	10	0	0	0	10	6	5	4	3.6	1.6
40	0	39.3	3	1	0	40	11	31	18	4.12	1.3
39	25	158.7	8	7	0	158	38	107	69	3.91	1.24
1	0	2	0	0	0	3	0	2	1	4.5	1.5
49	0	53.7	2	3	21	47	5	39	18	3.02	0.97
